Batken ,Dhori thogotovirus,Thogotovirus,Orthomyxoviridae,BKNV,15/04/1970,ssRNA(-),enveloped,tbc,4122,tick-borne-virus,Hyalomma marginatum,tbc,unk,unk,unk,unk,unk,unk,Kyrgyzstan,tbc,yes,unk,no,unk,tbc,3
"Batu Cave  ",Phnom Penh bat virus,Flavivirus,Flaviviridae,BCV,24/05/1905,ssRNA(+),enveloped,tbc,10131,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Malaysia,tbc,?,?,?,?,tbc,unk
Bauline ,unclassified orbivirus,Orbivirus,Reoviridae,BAUV,23/07/1971,dsRNA,non-enveloped,tbc,unk,tick-borne-virus,Ixodes uriae,tbc,unk,unk,unk,unk,unk,unk,Canada,tbc,yes,unk,unk,3,tbc,2
"Beatrice Hill  ",Beatrice Hill tibrovirus,Tibrovirus,Rhabdoviridae,BHV,29/05/1905,ssRNA(-),enveloped,tbc,13296,midge-borne disease,Culicoides peregrinus,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,?,?,?,?,tbc,unk
Beaumont,Beaumont virus,Dimarhabdovirus,Rhabdoviridae,BEAUV,27/06/1905,ssRNA(-),enveloped,tbc,4704,mosquito-borne-virus,Anopheles annulipes,tbc,unk,unk,unk,unk,unk,unk,,tbc,unk,unk,unk,unk,tbc,unk
Bebaru ,Bebaru virus,Alphavirus,Togaviridae,BEBV,09/02/1956,ssRNA(+),enveloped,tbc,11877,mosquito-borne-virus,Culex sp.,tbc,unk,unk,unk,unk,unk,unk,Malaysia,tbc,yes,unk,unk,3,tbc,2
Belem ,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BLMV,30/05/1968,ssRNA(-),enveloped,tbc,unk,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,8-10,unk,tbc,3
"Bellavista  ",Bellavista orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BELLV,01/11/2009,ssRNA(-),enveloped,tbc,12675,mosquito-borne-virus,Culex portesi,tbc,unk,unk,unk,unk,unk,unk,Peru,tbc,?,?,?,?,tbc,unk
Belmont ,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BELV,24/02/1968,ssRNA(-),enveloped,tbc,2026,mosquito-borne-virus,Culex annulirostris,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,unk,unk,unk,unk,tbc,2
Belterra,Rift Valley fever phlebovirus,Phlebovirus,Phenuiviridae,-,?,ssRNA(-),enveloped,tbc,2611,unk,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Benevides ,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BVSV,25/05/1968,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Culex spp.,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,2-3,unk,tbc,2
Benfica ,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,BENV,09/04/1965,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Culex spp.,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,3-4,unk,tbc,2
Berrimah ,Berrimah ephemerovirus,Ephemerovirus,Rhabdoviridae,BRMV,04/04/1981,ssRNA(-),enveloped,tbc,15024,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Australia,tbc,yes,yes,2,5,tbc,2
